Region,Mean_PFAS
North West,16.235386280456552
West Midlands,14.276025524483298
East of England,13.220490573083373
London,12.782207330274757
Yorkshire and The Humber,12.77950676840716
East Midlands,10.84545960482667
South East,8.3616153433838
North East,6.023559016523045
Wales,5.891889035754329
South West,2.9349297139679007
Scotland,2.548485973147036
